N° client;Client (automatique);Groupe (automatique);Date installation;N° de zone de lavage;Adresse (automatique);N° de routeur;Date derničre intervention;Produit lavant;Dilution lavant;Couleur buse lavant;Produit séchant;Dilution séchant;Couleur buse séchant;Autre produit lavant;Autre dilution lavant;Autre couleur buse lavant;Produit jantes;Dilution jantes;Produit lavant Zone 2;Dilution lavant Zone 2;Couleur buse lavant Zone 2;Produit séchant Zone 2;Dilution séchant Zone 2;Couleur buse séchant Zone 2;Autre produit lavant Zone 2;Autre dilution lavant Zone 2;Autre couleur buse lavant Zone 2;Produit lavant Zone 3;Dilution lavant Zone 3;Couleur buse lavant Zone 3;Produit séchant Zone 3;Dilution séchant Zone 3;Couleur buse séchant Zone 3;Produit lavant Zone 4;Dilution lavant Zone 4;Couleur buse lavant Zone 4;Produit séchant Zone 4;Dilution séchant Zone 4;Couleur buse séchant Zone 4;Produit lavant Zone 5;Dilution lavant Zone 5;Couleur buse lavant Zone 5;Produit séchant Zone 5;Dilution séchant Zone 5;Couleur buse séchant Zone 5;Option eau;Objet du mail;Titre du mail;Vérif statut du contrat (automatique);Explication du problčme;Solution préconisée
1070761966;VIKING AUTO BLET SA;VIKING;04.04.2024;2;76120 LE GRAND-QUEVILLY;Q221A7;15.10.2025;WNC 40 Nettoyant carrosserie ultraconcentré 20 L - 089047020;1,05%;Rose;Auto-séchant ultraconcentré 20L - 0893025020;0,70%;Rose;WNC 50 Nettoyant carrosserie 200L - 08904711;9,80%;Marron clair;;;WNC 40 Nettoyant carrosserie ultraconcentré 20 L - 089047020;1,05%;Rose;Auto-séchant ultraconcentré 20L - 0893025020;0,70%;Rose;WNC 50 Nettoyant carrosserie 200L - 08904711;9,80%;Marron clair;;;;;;;;;;;;;;;;;;;Non;Rapports de consommation E-wash_1070761966_VIKING AUTO BLET SA;Rapports de consommation E-wash_1070761966_VIKING AUTO BLET SA;Ok;;
1070761951;VIKING AUTO SA;VIKING;04.04.2024;1;76150 SAINT-JEAN-DU-CARDONNAY;Q221B3;15.10.2025;WNC 40 Nettoyant carrosserie ultraconcentré 20 L - 089047020;1,05%;Rose;Auto-séchant ultraconcentré 20L - 0893025020;0,70%;Rose;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Non;Rapports de consommation E-wash_1070761951_VIKING AUTO SA;Rapports de consommation E-wash_1070761951_VIKING AUTO SA;Ok;;
1071145108;JEANNIN AUTOMOBILES AVALON;JEANNIN;17.04.2024;1;89200 AVALON;Q2219D;24.09.2025;WNC 40 Nettoyant carrosserie ultraconcentré 20 L - 089047020;1,05%;Rose;Auto-séchant pręt-ŕ-l'emploi 200L - 0893025650;0,70%;Rose;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Non;Rapports de consommation E-wash_1071145108_JEANNIN AUTOMOBILES AVALON;Rapports de consommation E-wash_1071145108_JEANNIN AUTOMOBILES AVALON;Ok;;
1070100557;JEANNIN AUTOMOBILES TROYES;JEANNIN;17.04.2024;1;10000 TROYES;Q221A0;08.12.2025;WNC 40 Nettoyant carrosserie ultraconcentré 20 L - 089047020;1,05%;Rose;Auto-séchant pręt-ŕ-l'emploi 200L - 0893025650;0,70%;Rose;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Non;Rapports de consommation E-wash_1070100557_JEANNIN AUTOMOBILES TROYES;Rapports de consommation E-wash_1070100557_JEANNIN AUTOMOBILES TROYES;Ok;;
1070701179;JEANNIN AUTOMOBILES AUXERRE;JEANNIN;17.04.2024;1;89000 AUXERRE;Q2219A;18.09.2025;WNC 40 Nettoyant carrosserie ultraconcentré 20 L - 089047020;1,05%;Rose;Auto-séchant pręt-ŕ-l'emploi 200L - 0893025650;0,70%;Rose;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Non;Rapports de consommation E-wash_1070701179_JEANNIN AUTOMOBILES AUXERRE;Rapports de consommation E-wash_1070701179_JEANNIN AUTOMOBILES AUXERRE;Ok;;
1070278349;MOZART AUTOS;0;13.05.2024;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Rapports de consommation E-wash_1070278349_MOZART AUTOS;Rapports de consommation E-wash_1070278349_MOZART AUTOS;Pas de rapport;;
1070830813;BY MY CAR ROCQUEBRUNE;0;21.05.2024;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Rapports de consommation E-wash_1070830813_BY MY CAR ROCQUEBRUNE;Rapports de consommation E-wash_1070830813_BY MY CAR ROCQUEBRUNE;Pas de rapport;;
1070170751;TECHSTAR OUEST BY AUTOSPHERE;AUTOSPHERE;23.05.2024;1;17138 PUILBOREAU;Q2216F;30.09.2025;WNC 40 Nettoyant carrosserie 200L - 08904701;9,80%;Marron clair;Auto-séchant pręt-ŕ-l'emploi 200L - 0893025650;2,30%;Jaune;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Non;Rapports de consommation E-wash_1070170751_TECHSTAR OUEST BY AUTOSPHERE;Rapports de consommation E-wash_1070170751_TECHSTAR OUEST BY AUTOSPHERE;Ok;;
1070637246;OUEST MOTORS;OUEST;23.05.2024;1;22300 LANNION;Q221BD;01.10.2025;WNC 40 Nettoyant carrosserie 200L - 08904701;9,80%;Marron clair;Auto-séchant pręt-ŕ-l'emploi 200L - 0893025650;2,30%;Jaune;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Non;Rapports de consommation E-wash_1070637246_OUEST MOTORS;Rapports de consommation E-wash_1070637246_OUEST MOTORS;Pas de rapport;;
1071030942;JEANNIN ADVANCED CAR SENS;JEANNIN;03.06.2024;1;89100 SENS;Q22197;23.09.2025;WNC 40 Nettoyant carrosserie ultraconcentré 20 L - 089047020;1,05%;Rose;Auto-séchant ultraconcentré 20L - 0893025020;0,70%;Rose;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Non;Rapports de consommation E-wash_1071030942_JEANNIN ADVANCED CAR SENS;Rapports de consommation E-wash_1071030942_JEANNIN ADVANCED CAR SENS;Ok;;
1070737203;JEANNIN ADVANCED CAR VSD;JEANNIN;03.06.2024;1;77240 VERT-SAINT-DENIS;Q221A2;23.10.2025;WNC 40 Nettoyant carrosserie ultraconcentré 20 L - 089047020;11,60%;Bleue;Auto-séchant ultraconcentré 20L - 0893025020;1,85%;Bleue turqoise;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Non;Rapports de consommation E-wash_1070737203_JEANNIN ADVANCED CAR VSD;Rapports de consommation E-wash_1070737203_JEANNIN ADVANCED CAR VSD;Ok;;
1071007319;JEANNIN SMDA LAVAGE VSD;JEANNIN;03.06.2024;1;77240 VERT-SAINT-DENIS;Q22196;23.10.2025;WNC 40 Nettoyant carrosserie ultraconcentré 20 L - 089047020;11,60%;Bleue;Auto-séchant ultraconcentré 20L - 0893025020;2,30%;Jaune;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Non;Rapports de consommation E-wash_1071007319_JEANNIN SMDA LAVAGE VSD;Rapports de consommation E-wash_1071007319_JEANNIN SMDA LAVAGE VSD;Ok;;
1070593314;L ESPACE BIENVENUE CHAMPNIERS;ESPACE BIENVENUE;04.06.2024;1;16430 CHAMPNIERS;Q221A1;11.02.2026;WNC 40 Nettoyant carrosserie ultraconcentré 20 L - 089047020;1,05%;Rose;Auto-séchant ultraconcentré 20L - 0893025020;0,70%;Rose;;;;;;WNC 50 Nettoyant carrosserie 200L - 08904711;6,60%;Verte;;;;;;;;;;;;;;;;;;;;;;;;;Non;Rapports de consommation E-wash_1070593314_L ESPACE BIENVENUE CHAMPNIERS;Rapports de consommation E-wash_1070593314_L ESPACE BIENVENUE CHAMPNIERS;Ok;;
1070171274;L'ESPACE BIENVENUE ROCHEFORT;ESPACE BIENVENUE;04.06.2024;1;17300 ROCHEFORT;Q221B0;26.08.2025;WNC 40 Nettoyant carrosserie ultraconcentré 20 L - 089047020;1,05%;Rose;Auto-séchant ultraconcentré 20L - 0893025020;0,70%;Rose;;;;;;WNC 50 Nettoyant carrosserie 200L - 08904711;6,60%;Verte;;;;;;;;;;;;;;;;;;;;;;;;;Non;Rapports de consommation E-wash_1070171274_L'ESPACE BIENVENUE ROCHEFORT;Rapports de consommation E-wash_1070171274_L'ESPACE BIENVENUE ROCHEFORT;Ok;;
1070379612;L ESPACE BIENVENUE ST GEORGES;ESPACE BIENVENUE;04.06.2024;1;17110 SAINT-GEORGES-DE-DIDONNE;Q221C8;26.08.2025;WNC 40 Nettoyant carrosserie ultraconcentré 20 L - 089047020;1,05%;Rose;Auto-séchant ultraconcentré 20L - 0893025020;0,70%;Rose;;;;;;WNC 50 Nettoyant carrosserie 200L - 08904711;6,60%;Verte;;;;;;;;;;;;;;;;;;;;;;;;;Non;Rapports de consommation E-wash_1070379612_L ESPACE BIENVENUE ST GEORGES;Rapports de consommation E-wash_1070379612_L ESPACE BIENVENUE ST GEORGES;Ok;;
1070602483;ST MAXIMIN AUTOMOBILES SEAT;SITE UNIQUE;18.06.2024;1;60740 SAINT-MAXIMIN;Q2218D;16.10.2025;WNC 40 Nettoyant carrosserie 200L - 08904701;9,80%;Bleue;Auto-séchant pręt-ŕ-l'emploi 200L - 0893025650;2,30%;Jaune;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Oui;Rapport de consommation E-wash_1070602483_ST MAXIMIN AUTOMOBILES SEAT;Rapport de consommation E-wash_1070602483_ST MAXIMIN AUTOMOBILES SEAT;Ok;;
1071091730;FRAMATEQ RHONE ALPES;SITE UNIQUE;16.07.2024;1;69800 SAINT-PRIEST;Q22181;22.08.2024;WNC 70 Nettoyant pour carrosserie 200L - 0893048200;9,10%;Orange;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Non;Rapport de consommation E-wash_1071091730_FRAMATEQ RHONE ALPES;Rapport de consommation E-wash_1071091730_FRAMATEQ RHONE ALPES;Ok;;
1070419340;JEANNIN AUTOMOBILES IO ST ANDRE;JEANNIN;03.09.2024;1;10120 SAINT-ANDRE-LES-VERGERS;Q22185;03.02.2026;WNC 40 Nettoyant carrosserie ultraconcentré 20 L - 089047020;1,05%;Rose;Auto-séchant ultraconcentré 20L - 0893025020;0,50%;Rose s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Non;Rapports de consommation E-wash_1070419340_JEANNIN AUTOMOBILES IO ST ANDRE;Rapports de consommation E-wash_1070419340_JEANNIN AUTOMOBILES IO ST ANDRE;Ok;;
1070666255;JEANNIN AUTOMOBILES IO MAIZIERES;JEANNIN;03.09.2024;1;10510 MAIZIERES-LA-GRANDE-PAROISSE;Q2218E;17.12.2025;WNC 40 Nettoyant carrosserie ultraconcentré 20 L - 089047020;11,60%;Bleue;Auto-séchant ultraconcentré 20L - 0893025020;3,40%;Orange;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Non;Rapports de consommation E-wash_1070666255_JEANNIN AUTOMOBILES IO MAIZIERES;Rapports de consommation E-wash_1070666255_JEANNIN AUTOMOBILES IO MAIZIERES;Ok;;
1070628324;JEANNIN AUTOMOBILES IO AUXERRE;JEANNIN;03.09.2024;1;89000 AUXERRE;Q2217F;18.09.2025;WNC 40 Nettoyant carrosserie ultraconcentré 20 L - 089047020;9,80%;Marron clair;Auto-séchant ultraconcentré 20L - 0893025020;2,30%;Jaune;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Non;Rapports de consommation E-wash_1070628324_JEANNIN AUTOMOBILES IO AUXERRE;Rapports de consommation E-wash_1070628324_JEANNIN AUTOMOBILES IO AUXERRE;Ok;;
1070002822;ABCD DU TAXI RONDET SAS;0;05.09.2024;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Rapports de consommation E-wash_1070002822_ABCD DU TAXI RONDET SAS;Rapports de consommation E-wash_1070002822_ABCD DU TAXI RONDET SAS;Pas de rapport;;
1070637155;OUEST CONCEPT AUTOMOBILES  ;OUEST;18.09.2024;2;29200 BREST;Q221AA / Q221C0;01.10.2025;WNC 50 Nettoyant carrosserie 200L - 08904711;0,70%;Rose;WNC 31 Nettoyant carrosserie auto-séchant 200L - 0893010720;;;;;;;;WNC 40 Nettoyant carrosserie 200L - 08904701;1,05%;Rose;Auto-séchant pręt-ŕ-l'emploi 200L - 0893025650;11,60%;Bleue;;;;;;;;;;;;;;;;;;;;;;Non;Rapports de consommation E-wash_1070637155_OUEST CONCEPT AUTOMOBILES  ;Rapports de consommation E-wash_1070637155_OUEST CONCEPT AUTOMOBILES  ;Ok;;
1070353736;CONTACTS AUTOMOBILES SAS;0;19.09.2024;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Rapports de consommation E-wash_1070353736_CONTACTS AUTOMOBILES SAS;Rapports de consommation E-wash_1070353736_CONTACTS AUTOMOBILES SAS;Ok;;
1070510282;ETOILE AUTOBERNARD EPERNAY;ETOILE AUTOBERNARD;10.10.2024;1;51200 EPERNAY;Q80070;14.10.2025;WNC 40 Nettoyant carrosserie ultraconcentré 20 L - 089047020;6,60%;Verte;Auto-séchant ultraconcentré 20L - 0893025020;3,40%;Orange;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Non;Rapports de consommation E-wash_1070510282_ETOILE AUTOBERNARD EPERNAY;Rapports de consommation E-wash_1070510282_ETOILE AUTOBERNARD EPERNAY;Ok;;
1070665393;ETOILE AUTOBERNARD REIMS;ETOILE AUTOBERNARD;10.10.2024;1;51370 THILLOIS;Q22198;14.10.2025;WNC 40 Nettoyant carrosserie ultraconcentré 20 L - 089047020;6,60%;Verte;Auto-séchant ultraconcentré 20L - 0893025020;3,40%;Orange;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Non;Rapports de consommation E-wash_1070665393_ETOILE AUTOBERNARD REIMS;Rapports de consommation E-wash_1070665393_ETOILE AUTOBERNARD REIMS;Ok;;
1070020162;ETOILE AUTOBERNARD SAINT QUENTIN;ETOILE AUTOBERNARD;10.10.2024;1;02100 SAINT-QUENTIN;Q22199;15.10.2025;WNC 40 Nettoyant carrosserie ultraconcentré 20 L - 089047020;9,80%;Marron clair;Auto-séchant ultraconcentré 20L - 0893025020;3,40%;Orange;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Non;Rapports de consommation E-wash_1070020162_ETOILE AUTOBERNARD SAINT QUENTIN;Rapports de consommation E-wash_1070020162_ETOILE AUTOBERNARD SAINT QUENTIN;Ok;;
1070020163;ETOILE AUTOBERNARD SOISSONS;ETOILE AUTOBERNARD;10.10.2024;1;02200 SOISSONS;Q221A5;14.10.2025;WNC 40 Nettoyant carrosserie ultraconcentré 20 L - 089047020;9,80%;Marron clair;Auto-séchant ultraconcentré 20L - 0893025020;3,00%;Marron foncé;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Non;Rapports de consommation E-wash_1070020163_ETOILE AUTOBERNARD SOISSONS;Rapports de consommation E-wash_1070020163_ETOILE AUTOBERNARD SOISSONS;Ok;;
1071129787;GVA BY MY CAR AVIGNON;0;17.10.2024;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Rapports de consommation E-wash_1071129787_GVA BY MY CAR AVIGNON;Rapports de consommation E-wash_1071129787_GVA BY MY CAR AVIGNON;Pas de rapport;;
1070841855;GV BY MY CAR  CARPENTRAS;0;17.10.2024;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Rapports de consommation E-wash_1070841855_GV BY MY CAR  CARPENTRAS;Rapports de consommation E-wash_1070841855_GV BY MY CAR  CARPENTRAS;Pas de rapport;;
1070115941;GV BY MY CAR  ORANGE;0;17.10.2024;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Rapports de consommation E-wash_1070115941_GV BY MY CAR  ORANGE;Rapports de consommation E-wash_1070115941_GV BY MY CAR  ORANGE;Pas de rapport;;
1070841847;GV BY MY CAR CAVAILLON;0;17.10.2024;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Rapports de consommation E-wash_1070841847_GV BY MY CAR CAVAILLON;Rapports de consommation E-wash_1070841847_GV BY MY CAR CAVAILLON;Pas de rapport;;
1071174159;JEANNIN AUTOMOBILES OCCASIONS;JEANNIN;25.10.2024;1;89100 MAILLOT;Q23060;23.09.2025;WNC 40 Nettoyant carrosserie ultraconcentré 20 L - 089047020;1,05%;Rose;Auto-séchant pręt-ŕ-l'emploi 200L - 0893025650;0,70%;Rose;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Non;Rapports de consommation E-wash_1071174159_JEANNIN AUTOMOBILES OCCASIONS;Rapports de consommation E-wash_1071174159_JEANNIN AUTOMOBILES OCCASIONS;Ok;;
1071046164;BAYERN POITIERS BY AUTOSPHERE;AUTOSPHERE;12.11.2024;1;86000 POITIERS;Q80068;19.11.2025;WNC 40 Nettoyant carrosserie 200L - 08904701;1,05%;Rose;Auto-séchant pręt-ŕ-l'emploi 200L - 0893025650;0,70%;Rose;;;;Nettoyant jantes purple 200L - 0893477009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Non;Rapports de consommation E-wash_1071046164_BAYERN POITIERS BY AUTOSPHERE;Rapports de consommation E-wash_1071046164_BAYERN POITIERS BY AUTOSPHERE;Ok;;
1070736691;INTENZ POITOU BY AUTOSPHERE;AUTOSPHERE;12.11.2024;1;79000 NIORT;Q2305C;10.02.2025;WNC 40 Nettoyant carrosserie 200L - 08904701;9,80%;Marron clair;Auto-séchant pręt-ŕ-l'emploi 200L - 0893025650;2,30%;Jaune;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Non;Rapports de consommation E-wash_1070736691_INTENZ POITOU BY AUTOSPHERE;Rapports de consommation E-wash_1070736691_INTENZ POITOU BY AUTOSPHERE;Ok;;
1070327612;ESPACE PARIS SUD;ALIANTIS;29.11.2024;1;91170 VIRY-CHATILON;Q23062;17.10.2025;WNC 40 Nettoyant carrosserie ultraconcentré 20 L - 089047020;1,05%;Rose;Auto-séchant ultraconcentré 20L - 0893025020;2,30%;Jaune;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Non;Rapports de consommation E-wash_1070327612_ESPACE PARIS SUD;Rapports de consommation E-wash_1070327612_ESPACE PARIS SUD;Ok;;
1070921980;AUDI ALIANTIS MONTROUGE;ALIANTIS;29.11.2024;1;92120 MONTROUGE;Q2305B;17.10.2025;WNC 40 Nettoyant carrosserie ultraconcentré 20 L - 089047020;1,05%;Rose;Auto-séchant ultraconcentré 20L - 0893025020;0,70%;Rose;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Non;Rapports de consommation E-wash_1070921980_AUDI ALIANTIS MONTROUGE;Rapports de consommation E-wash_1070921980_AUDI ALIANTIS MONTROUGE;Ok;;
1070309718;SAS ALIANTIS PARIS OUEST;ALIANTIS;29.11.2024;1;78240 CHAMBOURCY;Q23061;16.10.2025;WNC 40 Nettoyant carrosserie ultraconcentré 20 L - 089047020;1,05%;Rose;Auto-séchant ultraconcentré 20L - 0893025020;0,70%;Rose;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Non;Rapports de consommation E-wash_1070309718_SAS ALIANTIS PARIS OUEST;Rapports de consommation E-wash_1070309718_SAS ALIANTIS PARIS OUEST;Ok;;
1071198653;AS JEANNIN SMDA OCCASIONS ;JEANNIN;24.01.2025;1;77240 VERT-SAINT-DENIS;Q90091;23.10.2025;WNC 40 Nettoyant carrosserie ultraconcentré 20 L - 089047020;1,05%;Rose;Auto-séchant ultraconcentré 20L - 0893025020;0,70%;Rose s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Non;Rapports de consommation E-wash_1071198653_AS JEANNIN SMDA OCCASIONS ;Rapports de consommation E-wash_1071198653_AS JEANNIN SMDA OCCASIONS ;Ok;;
1071213908;JEANNIN MOTORS;JEANNIN;11.02.2025;1;10600 LA CHAPELLE-SAINT-LUC;Q2305E;23.09.2025;WNC 40 Nettoyant carrosserie ultraconcentré 20 L - 089047020;1,05%;Rose;Auto-séchant pręt-ŕ-l'emploi 200L - 0893025650;0,70%;Rose;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Non;Rapports de consommation E-wash_1071213908_JEANNIN MOTORS;Rapports de consommation E-wash_1071213908_JEANNIN MOTORS;Ok;;
1071214929;ENERGY CAR WASH SAS;SITE UNIQUE;07.04.2025;5;30900 NIMES;Q23050 / Q2304A;23.04.2025;WNC 40 Nettoyant carrosserie ultraconcentré 20 L - 089047020;1,05%;Rose;Auto-séchant ultraconcentré 20L - 0893025020;0,70%;Rose;;;;;;WNC 40 Nettoyant carrosserie ultraconcentré 20 L - 089047020;1,05%;Rose;Auto-séchant ultraconcentré 20L - 0893025020;0,70%;Rose;;;;WNC 40 Nettoyant carrosserie ultraconcentré 20 L - 089047020;1,05%;Rose;Auto-séchant ultraconcentré 20L - 0893025020;0,70%;Rose;WNC 40 Nettoyant carrosserie ultraconcentré 20 L - 089047020;1,05%;Rose;Auto-séchant ultraconcentré 20L - 0893025020;0,70%;Rose;WNC 40 Nettoyant carrosserie ultraconcentré 20 L - 089047020;1,05%;Rose;Auto-séchant ultraconcentré 20L - 0893025020;0,70%;Rose;Non;Rapport de consommation E-wash_1071214929_ENERGY CAR WASH SAS;Rapport de consommation E-wash_1071214929_ENERGY CAR WASH SAS;Ok;;
1070550192;JM AUTOMOBILES;SITE UNIQUE;24.04.2025;1;55430 BELLEVILLE-SUR-MEUSE;Q2304B;14.10.2025;WNC 40 Nettoyant carrosserie ultraconcentré 20 L - 089047020;1,05%;Rose;Auto-séchant ultraconcentré 20L - 0893025020;0,53%;Rose s;;;;Nettoyant jantes purple 200L - 0893477009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Non;Rapport de consommation E-wash_1070550192_JM AUTOMOBILES;Rapport de consommation E-wash_1070550192_JM AUTOMOBILES;Ok;;
1071226251;JEANNIN AUTOPRESTIGE OCCASION;JEANNIN;28.04.2025;1;89300 CHAMPLAY;Q23049;16.12.2025;WNC 40 Nettoyant carrosserie ultraconcentré 20 L - 089047020;1,05%;Rose;Auto-séchant pręt-ŕ-l'emploi 200L - 0893025650;0,70%;Rose;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Non;Rapports de consommation E-wash_1071226251_JEANNIN AUTOPRESTIGE OCCASION;Rapports de consommation E-wash_1071226251_JEANNIN AUTOPRESTIGE OCCASION;Ok;;
1070563456;KERMOVANT AUTOMOBILE;SITE UNIQUE;11.09.2025;1;54600 AURAY;Q23041;04.11.2025;WNC 40 Nettoyant carrosserie ultraconcentré 20 L - 089047020;9,80%;Marron clair;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Non;Rapport de consommation E-wash_1070563456_KERMOVANT AUTOMOBILE;Rapport de consommation E-wash_1070563456_KERMOVANT AUTOMOBILE;Ok;;
1070917624;SAS STA 91;SITE UNIQUE;21.10.2025;1;91940 LES ULIS;Q23048;17.12.2025;WNC 40 Nettoyant carrosserie 200L - 08904701;11,60%;Bleue;Auto-séchant pręt-ŕ-l'emploi 200L - 0893025650;2,30%;Jaune;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Oui;Rapport de consommation E-wash_1070917624_SAS STA 91;Rapport de consommation E-wash_1070917624_SAS STA 91;Ok;;
